local_datetime,segment_id,crosswalk,direction,volume
06/07/2025,Washington Street and Calle Tampico,South Crosswalk,eb,
06/08/2025,Washington Street and Calle Tampico,South Crosswalk,wb,
06/08/2025,Washington Street and Calle Tampico,South Crosswalk,eb,
06/09/2025,Washington Street and Calle Tampico,South Crosswalk,wb,
06/09/2025,Washington Street and Calle Tampico,South Crosswalk,eb,
06/10/2025,Washington Street and Calle Tampico,South Crosswalk,wb,
06/10/2025,Washington Street and Calle Tampico,South Crosswalk,eb,
06/11/2025,Washington Street and Calle Tampico,South Crosswalk,wb,
06/11/2025,Washington Street and Calle Tampico,South Crosswalk,eb,
06/12/2025,Washington Street and Calle Tampico,South Crosswalk,wb,
06/12/2025,Washington Street and Calle Tampico,South Crosswalk,eb,
06/13/2025,Washington Street and Calle Tampico,South Crosswalk,wb,
06/13/2025,Washington Street and Calle Tampico,South Crosswalk,eb,
06/14/2025,Washington Street and Calle Tampico,South Crosswalk,wb,
06/14/2025,Washington Street and Calle Tampico,South Crosswalk,eb,
06/15/2025,Washington Street and Calle Tampico,South Crosswalk,wb,0
06/15/2025,Washington Street and Calle Tampico,South Crosswalk,eb,0
06/16/2025,Washington Street and Calle Tampico,South Crosswalk,wb,0
06/16/2025,Washington Street and Calle Tampico,South Crosswalk,eb,0
06/17/2025,Washington Street and Calle Tampico,South Crosswalk,wb,1
06/17/2025,Washington Street and Calle Tampico,South Crosswalk,eb,1
06/18/2025,Washington Street and Calle Tampico,South Crosswalk,wb,2
06/18/2025,Washington Street and Calle Tampico,South Crosswalk,eb,3
06/19/2025,Washington Street and Calle Tampico,South Crosswalk,wb,0
06/19/2025,Washington Street and Calle Tampico,South Crosswalk,eb,4
06/20/2025,Washington Street and Calle Tampico,South Crosswalk,wb,1
06/20/2025,Washington Street and Calle Tampico,South Crosswalk,eb,5
06/21/2025,Washington Street and Calle Tampico,South Crosswalk,wb,3
06/21/2025,Washington Street and Calle Tampico,South Crosswalk,eb,4
06/22/2025,Washington Street and Calle Tampico,South Crosswalk,wb,3
06/22/2025,Washington Street and Calle Tampico,South Crosswalk,eb,9
06/23/2025,Washington Street and Calle Tampico,South Crosswalk,wb,3
06/23/2025,Washington Street and Calle Tampico,South Crosswalk,eb,6
06/24/2025,Washington Street and Calle Tampico,South Crosswalk,wb,4
06/24/2025,Washington Street and Calle Tampico,South Crosswalk,eb,11
06/25/2025,Washington Street and Calle Tampico,South Crosswalk,wb,8
06/25/2025,Washington Street and Calle Tampico,South Crosswalk,eb,14
06/26/2025,Washington Street and Calle Tampico,South Crosswalk,wb,7
06/26/2025,Washington Street and Calle Tampico,South Crosswalk,eb,9
06/27/2025,Washington Street and Calle Tampico,South Crosswalk,wb,6
06/27/2025,Washington Street and Calle Tampico,South Crosswalk,eb,12
06/28/2025,Washington Street and Calle Tampico,South Crosswalk,wb,6
06/28/2025,Washington Street and Calle Tampico,South Crosswalk,eb,19
