local_datetime,segment_id,direction,turn_type,volume
6/27/2025,Village Shopping Center,eb,Left,1221
6/28/2025,Village Shopping Center,eb,Right,41
6/28/2025,Village Shopping Center,eb,Left,1093
6/29/2025,Village Shopping Center,eb,Right,73
6/29/2025,Village Shopping Center,eb,Left,835
6/30/2025,Village Shopping Center,eb,Right,98
6/30/2025,Village Shopping Center,eb,Left,1149
6/15/2025,Village Shopping Center,nb,Right,4
6/15/2025,Village Shopping Center,nb,Through,6
6/16/2025,Village Shopping Center,nb,Right,1445
6/16/2025,Village Shopping Center,nb,Through,2219
6/17/2025,Village Shopping Center,nb,Right,1496
6/17/2025,Village Shopping Center,nb,Through,2335
6/18/2025,Village Shopping Center,nb,Right,1604
6/18/2025,Village Shopping Center,nb,Through,2438
6/19/2025,Village Shopping Center,nb,Right,1464
6/19/2025,Village Shopping Center,nb,Through,2325
6/20/2025,Village Shopping Center,nb,Right,1606
6/20/2025,Village Shopping Center,nb,Through,2467
6/21/2025,Village Shopping Center,nb,Right,1318
6/21/2025,Village Shopping Center,nb,Through,1973
6/22/2025,Village Shopping Center,nb,Right,1193
6/22/2025,Village Shopping Center,nb,Through,1747
6/23/2025,Village Shopping Center,nb,Right,3549
6/23/2025,Village Shopping Center,nb,Through,5625
6/24/2025,Village Shopping Center,nb,Right,4712
6/24/2025,Village Shopping Center,nb,Through,7455
6/25/2025,Village Shopping Center,nb,Right,4643
6/25/2025,Village Shopping Center,nb,Through,7278
6/26/2025,Village Shopping Center,nb,Right,4597
6/26/2025,Village Shopping Center,nb,Through,7090
6/27/2025,Village Shopping Center,nb,Right,4468
6/27/2025,Village Shopping Center,nb,Through,7102
6/28/2025,Village Shopping Center,nb,Right,3930
6/28/2025,Village Shopping Center,nb,Through,5770
6/29/2025,Village Shopping Center,nb,Right,2836
6/29/2025,Village Shopping Center,nb,Through,4110
6/30/2025,Village Shopping Center,nb,Right,4081
6/30/2025,Village Shopping Center,nb,Through,6363
6/15/2025,Village Shopping Center,sb,Through,6
6/15/2025,Village Shopping Center,sb,Left,0
6/16/2025,Village Shopping Center,sb,Through,2777
6/16/2025,Village Shopping Center,sb,Left,40
6/17/2025,Village Shopping Center,sb,Through,2798
6/17/2025,Village Shopping Center,sb,Left,39
6/18/2025,Village Shopping Center,sb,Through,2601
6/18/2025,Village Shopping Center,sb,Left,34
6/19/2025,Village Shopping Center,sb,Through,2696
