local_datetime,segment_id,direction,volume
6/28/2025,Washington and Village Shopping Center,nb,91
6/29/2025,Washington and Village Shopping Center,nb,91
6/30/2025,Washington and Village Shopping Center,nb,76
6/1/2025,Washington and Avenue 50,wb,
6/2/2025,Washington and Avenue 50,wb,
6/3/2025,Washington and Avenue 50,wb,
6/4/2025,Washington and Avenue 50,wb,
6/5/2025,Washington and Avenue 50,wb,
6/6/2025,Washington and Avenue 50,wb,
6/7/2025,Washington and Avenue 50,wb,
6/8/2025,Washington and Avenue 50,wb,
6/9/2025,Washington and Avenue 50,wb,
6/10/2025,Washington and Avenue 50,wb,
6/11/2025,Washington and Avenue 50,wb,
6/12/2025,Washington and Avenue 50,wb,
6/13/2025,Washington and Avenue 50,wb,
6/14/2025,Washington and Avenue 50,wb,
6/15/2025,Washington and Avenue 50,wb,
6/16/2025,Washington and Avenue 50,wb,
6/17/2025,Washington and Avenue 50,wb,0
6/18/2025,Washington and Avenue 50,wb,3
6/19/2025,Washington and Avenue 50,wb,0
6/20/2025,Washington and Avenue 50,wb,2
6/21/2025,Washington and Avenue 50,wb,6
6/22/2025,Washington and Avenue 50,wb,2
6/23/2025,Washington and Avenue 50,wb,5
6/24/2025,Washington and Avenue 50,wb,12
6/25/2025,Washington and Avenue 50,wb,8
6/26/2025,Washington and Avenue 50,wb,9
6/27/2025,Washington and Avenue 50,wb,6
6/28/2025,Washington and Avenue 50,wb,9
6/29/2025,Washington and Avenue 50,wb,7
6/30/2025,Washington and Avenue 50,wb,4
6/1/2025,Washington and Avenue 50,eb,
6/2/2025,Washington and Avenue 50,eb,
6/3/2025,Washington and Avenue 50,eb,
6/4/2025,Washington and Avenue 50,eb,
6/5/2025,Washington and Avenue 50,eb,
6/6/2025,Washington and Avenue 50,eb,
6/7/2025,Washington and Avenue 50,eb,
6/8/2025,Washington and Avenue 50,eb,
6/9/2025,Washington and Avenue 50,eb,
6/10/2025,Washington and Avenue 50,eb,
6/11/2025,Washington and Avenue 50,eb,
6/12/2025,Washington and Avenue 50,eb,
6/13/2025,Washington and Avenue 50,eb,
6/14/2025,Washington and Avenue 50,eb,
6/15/2025,Washington and Avenue 50,eb,
6/16/2025,Washington and Avenue 50,eb,
6/17/2025,Washington and Avenue 50,eb,3
6/18/2025,Washington and Avenue 50,eb,7
6/19/2025,Washington and Avenue 50,eb,7
6/20/2025,Washington and Avenue 50,eb,0
6/21/2025,Washington and Avenue 50,eb,0
6/22/2025,Washington and Avenue 50,eb,0
6/23/2025,Washington and Avenue 50,eb,0
6/24/2025,Washington and Avenue 50,eb,0
6/25/2025,Washington and Avenue 50,eb,0
6/26/2025,Washington and Avenue 50,eb,0
6/27/2025,Washington and Avenue 50,eb,0
6/28/2025,Washington and Avenue 50,eb,0
6/29/2025,Washington and Avenue 50,eb,0
6/30/2025,Washington and Avenue 50,eb,0
6/1/2025,Washington and Avenue 50,sb,
6/2/2025,Washington and Avenue 50,sb,
6/3/2025,Washington and Avenue 50,sb,
6/4/2025,Washington and Avenue 50,sb,
